n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.0125,1.598950300e-13,3.197900601e-13,nan,nan,nan,nan
2,0.025,2.995809312e-13,3.600958206e-13,nan,nan,nan,nan
3,0.0375,2.784838797e-13,2.097408324e-13,nan,nan,nan,nan
4,0.05,2.339234725e-13,2.815290760e-13,nan,nan,nan,nan
5,0.0625,2.561158025e-13,2.214808163e-13,nan,nan,nan,nan
6,0.075,2.020176849e-13,2.420341020e-13,nan,nan,nan,nan
7,0.0875,2.355871226e-13,2.251087601e-13,nan,nan,nan,nan
8,0.1,1.873543036e-13,2.411813735e-13,nan,nan,nan,nan
9,0.1125,2.196241247e-13,2.191991582e-13,nan,nan,nan,nan
10,0.125,1.918719430e-13,1.993645319e-13,nan,nan,nan,nan
11,0.1375,2.055101912e-13,2.111755028e-13,nan,nan,nan,nan
12,0.15,1.917278857e-13,1.858938671e-13,nan,nan,nan,nan
13,0.1625,1.943146775e-13,2.053713085e-13,nan,nan,nan,nan
14,0.175,1.955962216e-13,2.307452963e-13,nan,nan,nan,nan
15,0.1875,2.100238249e-13,1.952775188e-13,nan,nan,nan,nan
16,0.2,1.855201991e-13,1.979011715e-13,nan,nan,nan,nan
17,0.2125,1.882886854e-13,2.177603867e-13,nan,nan,nan,nan
18,0.225,1.954314197e-13,1.900411468e-13,nan,nan,nan,nan
19,0.2375,1.792114806e-13,2.165197005e-13,nan,nan,nan,nan
20,0.25,1.951995220e-13,2.439510126e-13,nan,nan,nan,nan
21,0.2625,2.156435561e-13,2.166968884e-13,nan,nan,nan,nan
22,0.275,1.931671621e-13,2.187857702e-13,nan,nan,nan,nan
23,0.2875,1.974669199e-13,2.368783783e-13,nan,nan,nan,nan
24,0.3,2.076381549e-13,2.204999634e-13,nan,nan,nan,nan
25,0.3125,2.027622136e-13,2.487475558e-13,nan,nan,nan,nan
26,0.325,2.159079782e-13,2.670576383e-13,nan,nan,nan,nan
27,0.3375,2.276162867e-13,2.588994291e-13,nan,nan,nan,nan
28,0.35,2.267691419e-13,2.668978189e-13,nan,nan,nan,nan
29,0.3625,2.490982558e-13,2.800320027e-13,nan,nan,nan,nan
30,0.375,2.649642997e-13,2.764853344e-13,nan,nan,nan,nan
31,0.3875,2.494938518e-13,2.821197755e-13,nan,nan,nan,nan
32,0.4,2.539219986e-13,2.917009321e-13,nan,nan,nan,nan
33,0.4125,2.657025296e-13,2.986391736e-13,nan,nan,nan,nan
34,0.425,2.577988883e-13,3.224780957e-13,nan,nan,nan,nan
35,0.4375,2.969773770e-13,3.376558441e-13,nan,nan,nan,nan
36,0.45,3.150709877e-13,3.238600726e-13,nan,nan,nan,nan
37,0.4625,2.895650100e-13,3.223903541e-13,nan,nan,nan,nan
38,0.475,2.994776156e-13,3.354929418e-13,nan,nan,nan,nan
39,0.4875,3.127441361e-13,3.292161164e-13,nan,nan,nan,nan
40,0.5,2.837778074e-13,3.652193722e-13,nan,nan,nan,nan
41,0.5125,3.358300934e-13,3.809999026e-13,nan,nan,nan,nan
42,0.525,3.552638035e-13,3.568541139e-13,nan,nan,nan,nan
43,0.5375,3.217297852e-13,3.607200170e-13,nan,nan,nan,nan
44,0.55,3.359670530e-13,3.738701240e-13,nan,nan,nan,nan
45,0.5625,3.502516494e-13,3.767863610e-13,nan,nan,nan,nan
46,0.575,3.129514111e-13,3.893440033e-13,nan,nan,nan,nan
47,0.5875,3.656784069e-13,4.042520000e-13,nan,nan,nan,nan
48,0.6,3.855804744e-13,4.046471964e-13,nan,nan,nan,nan
49,0.6125,3.482663299e-13,4.139683747e-13,nan,nan,nan,nan
50,0.625,3.643734071e-13,4.223509067e-13,nan,nan,nan,nan
51,0.6375,3.792454417e-13,4.292725011e-13,nan,nan,nan,nan
52,0.65,3.398412975e-13,4.353245674e-13,nan,nan,nan,nan
53,0.6625,3.904821520e-13,4.416076249e-13,nan,nan,nan,nan
54,0.675,4.100144152e-13,4.485650516e-13,nan,nan,nan,nan
55,0.6875,3.759586981e-13,4.553697445e-13,nan,nan,nan,nan
56,0.7,3.895326329e-13,4.604846354e-13,nan,nan,nan,nan
57,0.7125,4.047089047e-13,4.633354823e-13,nan,nan,nan,nan
58,0.725,3.712189059e-13,4.648792166e-13,nan,nan,nan,nan
59,0.7375,4.185748571e-13,4.669249369e-13,nan,nan,nan,nan
60,0.75,4.368830902e-13,4.700783801e-13,nan,nan,nan,nan
61,0.7625,4.150217378e-13,4.730339505e-13,nan,nan,nan,nan
62,0.775,4.203011669e-13,4.737194845e-13,nan,nan,nan,nan
63,0.7875,4.353590245e-13,4.713865622e-13,nan,nan,nan,nan
64,0.8,4.251477892e-13,4.675143802e-13,nan,nan,nan,nan
65,0.8125,4.606187551e-13,4.644058917e-13,nan,nan,nan,nan
66,0.825,4.770428745e-13,4.628101339e-13,nan,nan,nan,nan
67,0.8375,4.750326424e-13,4.610388694e-13,nan,nan,nan,nan
68,0.85,4.789694155e-13,4.565984139e-13,nan,nan,nan,nan
69,0.8625,4.940712921e-13,4.487445116e-13,nan,nan,nan,nan
70,0.875,5.101348376e-13,4.393949811e-13,nan,nan,nan,nan
71,0.8875,5.253433017e-13,4.328316046e-13,nan,nan,nan,nan
72,0.9,5.395929521e-13,4.248421602e-13,nan,nan,nan,nan
73,0.9125,5.600345749e-13,4.185488320e-13,nan,nan,nan,nan
74,0.925,5.911726984e-13,4.104281883e-13,nan,nan,nan,nan
75,0.9375,6.152422530e-13,4.018425617e-13,nan,nan,nan,nan
76,0.95,6.188984543e-13,3.956332947e-13,nan,nan,nan,nan
77,0.9625,6.158530026e-13,3.897515919e-13,nan,nan,nan,nan
78,0.975,6.347817720e-13,3.931888959e-13,nan,nan,nan,nan
79,0.9875,6.684809986e-13,4.471344614e-13,nan,nan,nan,nan
80,1,7.204924452e-13,4.822801933e-13,nan,nan,nan,nan
81,1.0125,7.508666117e-13,4.820673986e-13,nan,nan,nan,nan
82,1.025,7.459975010e-13,4.839664386e-13,nan,nan,nan,nan
83,1.0375,7.405347772e-13,5.190824784e-13,nan,nan,nan,nan
84,1.05,7.692501798e-13,5.528533330e-13,nan,nan,nan,nan
85,1.0625,7.970487471e-13,6.279880167e-13,nan,nan,nan,nan
86,1.075,8.615133401e-13,6.727701183e-13,nan,nan,nan,nan
87,1.0875,8.956788984e-13,6.751861546e-13,nan,nan,nan,nan
88,1.1,8.880528996e-13,6.680682032e-13,nan,nan,nan,nan
89,1.1125,8.801398958e-13,7.091974951e-13,nan,nan,nan,nan
90,1.125,9.119812678e-13,7.655689917e-13,nan,nan,nan,nan
91,1.1375,9.448884351e-13,8.464236907e-13,nan,nan,nan,nan
92,1.15,1.013285233e-12,8.958787724e-13,nan,nan,nan,nan
93,1.1625,1.049696743e-12,9.059284504e-13,nan,nan,nan,nan
94,1.175,1.046429965e-12,9.092557820e-13,nan,nan,nan,nan
95,1.1875,1.036333282e-12,9.432649690e-13,nan,nan,nan,nan
96,1.2,1.064462711e-12,1.013280564e-12,nan,nan,nan,nan
97,1.2125,1.116269856e-12,1.090206754e-12,nan,nan,nan,nan
98,1.225,1.181146087e-12,1.141144277e-12,nan,nan,nan,nan
99,1.2375,1.219583073e-12,1.162094428e-12,nan,nan,nan,nan
100,1.25,1.228644820e-12,1.180090745e-12,nan,nan,nan,nan
101,1.2625,1.235960411e-12,1.220633332e-12,nan,nan,nan,nan
102,1.275,1.266859315e-12,1.284332614e-12,nan,nan,nan,nan
103,1.2875,1.320677448e-12,1.351356915e-12,nan,nan,nan,nan
104,1.3,1.377376322e-12,1.401526469e-12,nan,nan,nan,nan
105,1.3125,1.418727615e-12,1.435709826e-12,nan,nan,nan,nan
106,1.325,1.447329057e-12,1.470638307e-12,nan,nan,nan,nan
107,1.3375,1.479444621e-12,1.517268484e-12,nan,nan,nan,nan
108,1.35,1.522598787e-12,1.571676693e-12,nan,nan,nan,nan
109,1.3625,1.570995530e-12,1.625350032e-12,nan,nan,nan,nan
110,1.375,1.618179578e-12,1.674069954e-12,nan,nan,nan,nan
111,1.3875,1.664742533e-12,1.722615682e-12,nan,nan,nan,nan
112,1.4,1.717380316e-12,1.775706997e-12,nan,nan,nan,nan
113,1.4125,1.777613341e-12,1.827966816e-12,nan,nan,nan,nan
114,1.425,1.834550388e-12,1.872302001e-12,nan,nan,nan,nan
115,1.4375,1.879160730e-12,1.912563522e-12,nan,nan,nan,nan
116,1.45,1.919854121e-12,1.960473159e-12,nan,nan,nan,nan
117,1.4625,1.974234409e-12,2.023883482e-12,nan,nan,nan,nan
118,1.475,2.051452092e-12,2.094471748e-12,nan,nan,nan,nan
119,1.4875,2.138518126e-12,2.152574387e-12,nan,nan,nan,nan
120,1.5,2.209583053e-12,2.188957019e-12,nan,nan,nan,nan
121,1.5125,2.255068651e-12,2.219512622e-12,nan,nan,nan,nan
122,1.525,2.295159294e-12,2.268912731e-12,nan,nan,nan,nan
123,1.5375,2.360155750e-12,2.346689108e-12,nan,nan,nan,nan
124,1.55,2.458988750e-12,2.433226637e-12,nan,nan,nan,nan
125,1.5625,2.567899867e-12,2.498032528e-12,nan,nan,nan,nan
126,1.575,2.652673552e-12,2.532122624e-12,nan,nan,nan,nan
127,1.5875,2.705239940e-12,2.560232836e-12,nan,nan,nan,nan
128,1.6,2.752999689e-12,2.615500752e-12,nan,nan,nan,nan
129,1.6125,2.831272612e-12,2.706340388e-12,nan,nan,nan,nan
130,1.625,2.946861133e-12,2.806039819e-12,nan,nan,nan,nan
131,1.6375,3.070980186e-12,2.879665156e-12,nan,nan,nan,nan
132,1.65,3.169042852e-12,2.920315374e-12,nan,nan,nan,nan
133,1.6625,3.236008975e-12,2.956599911e-12,nan,nan,nan,nan
134,1.675,3.300598006e-12,3.023298447e-12,nan,nan,nan,nan
135,1.6875,3.394959003e-12,3.125953338e-12,nan,nan,nan,nan
136,1.7,3.522329614e-12,3.236206854e-12,nan,nan,nan,nan
137,1.7125,3.656217192e-12,3.321887742e-12,nan,nan,nan,nan
138,1.725,3.768253613e-12,3.379641784e-12,nan,nan,nan,nan
139,1.7375,3.857006413e-12,3.436734322e-12,nan,nan,nan,nan
140,1.75,3.947106822e-12,3.521617411e-12,nan,nan,nan,nan
141,1.7625,4.060753829e-12,3.635243604e-12,nan,nan,nan,nan
142,1.775,4.197202325e-12,3.754376484e-12,nan,nan,nan,nan
143,1.7875,4.337732083e-12,3.856521620e-12,nan,nan,nan,nan
144,1.8,4.465755699e-12,3.942968694e-12,nan,nan,nan,nan
145,1.8125,4.583918334e-12,4.033026592e-12,nan,nan,nan,nan
146,1.825,4.706970351e-12,4.142219109e-12,nan,nan,nan,nan
147,1.8375,4.843664723e-12,4.268048060e-12,nan,nan,nan,nan
148,1.85,4.989705486e-12,4.396887281e-12,nan,nan,nan,nan
149,1.8625,5.137322851e-12,4.520861122e-12,nan,nan,nan,nan
150,1.875,5.285259540e-12,4.644419379e-12,nan,nan,nan,nan
151,1.8875,5.439196714e-12,4.776303297e-12,nan,nan,nan,nan
152,1.9,5.601263638e-12,4.915654907e-12,nan,nan,nan,nan
153,1.9125,5.765198198e-12,5.056571270e-12,nan,nan,nan,nan
154,1.925,5.924648609e-12,5.198616808e-12,nan,nan,nan,nan
155,1.9375,6.084234188e-12,5.349920513e-12,nan,nan,nan,nan
156,1.95,6.257572259e-12,5.517275461e-12,nan,nan,nan,nan
157,1.9625,6.451846757e-12,5.694989778e-12,nan,nan,nan,nan
158,1.975,6.656627866e-12,5.868291076e-12,nan,nan,nan,nan
159,1.9875,6.852447681e-12,6.030165293e-12,nan,nan,nan,nan
160,2,7.032354652e-12,6.192506357e-12,nan,nan,nan,nan
161,2.0125,7.212546955e-12,6.376232123e-12,nan,nan,nan,nan
162,2.025,7.417763255e-12,6.588586432e-12,nan,nan,nan,nan
163,2.0375,7.654924472e-12,6.812650993e-12,nan,nan,nan,nan
164,2.05,7.903663291e-12,7.023208638e-12,nan,nan,nan,nan
165,2.0625,8.136071919e-12,7.213232308e-12,nan,nan,nan,nan
166,2.075,8.346308022e-12,7.404489375e-12,nan,nan,nan,nan
167,2.0875,8.558369794e-12,7.625547132e-12,nan,nan,nan,nan
168,2.1,8.802375885e-12,7.882397397e-12,nan,nan,nan,nan
169,2.1125,9.083414137e-12,8.150977793e-12,nan,nan,nan,nan
170,2.125,9.375881999e-12,8.401031842e-12,nan,nan,nan,nan
171,2.1375,9.649810058e-12,8.628024782e-12,nan,nan,nan,nan
172,2.15,9.901807601e-12,8.858020342e-12,nan,nan,nan,nan
173,2.1625,1.015832349e-11,9.121003487e-12,nan,nan,nan,nan
174,2.175,1.044821613e-11,9.420430370e-12,nan,nan,nan,nan
175,2.1875,1.077372055e-11,9.730349249e-12,nan,nan,nan,nan
176,2.2,1.110972377e-11,1.002274647e-11,nan,nan,nan,nan
177,2.2125,1.143076549e-11,1.029593401e-11,nan,nan,nan,nan
178,2.225,1.173659402e-11,1.057482271e-11,nan,nan,nan,nan
179,2.2375,1.205037395e-11,1.088433187e-11,nan,nan,nan,nan
180,2.25,1.239361128e-11,1.122479164e-11,nan,nan,nan,nan
181,2.2625,1.276542095e-11,1.157417319e-11,nan,nan,nan,nan
182,2.275,1.314667215e-11,1.191245765e-11,nan,nan,nan,nan
183,2.2875,1.352176960e-11,1.224116061e-11,nan,nan,nan,nan
184,2.3,1.389351215e-11,1.257879359e-11,nan,nan,nan,nan
185,2.3125,1.427689835e-11,1.294004719e-11,nan,nan,nan,nan
186,2.325,1.468181164e-11,1.332232369e-11,nan,nan,nan,nan
187,2.3375,1.510474678e-11,1.371226119e-11,nan,nan,nan,nan
188,2.35,1.553663809e-11,1.410188517e-11,nan,nan,nan,nan
189,2.3625,1.597479910e-11,1.449539216e-11,nan,nan,nan,nan
190,2.375,1.642427964e-11,1.490107832e-11,nan,nan,nan,nan
191,2.3875,1.688890985e-11,1.532069993e-11,nan,nan,nan,nan
192,2.4,1.736533917e-11,1.574962491e-11,nan,nan,nan,nan
193,2.4125,1.784854256e-11,1.618593484e-11,nan,nan,nan,nan
194,2.425,1.834134373e-11,1.663537702e-11,nan,nan,nan,nan
195,2.4375,1.885413378e-11,1.710289419e-11,nan,nan,nan,nan
196,2.45,1.939293356e-11,1.758547740e-11,nan,nan,nan,nan
197,2.4625,1.994988687e-11,1.807279424e-11,nan,nan,nan,nan
198,2.475,2.050970027e-11,1.855952754e-11,nan,nan,nan,nan
199,2.4875,2.106723410e-11,1.905484445e-11,nan,nan,nan,nan
200,2.5,2.163642246e-11,1.957535003e-11,nan,nan,nan,nan
201,2.5125,2.223809943e-11,2.012698203e-11,nan,nan,nan,nan
202,2.525,2.287783003e-11,2.069617154e-11,nan,nan,nan,nan
203,2.5375,2.353810079e-11,2.126253548e-11,nan,nan,nan,nan
204,2.55,2.419548941e-11,2.182142261e-11,nan,nan,nan,nan
205,2.5625,2.484610211e-11,2.239160489e-11,nan,nan,nan,nan
206,2.575,2.551205905e-11,2.299770411e-11,nan,nan,nan,nan
207,2.5875,2.621964310e-11,2.364453279e-11,nan,nan,nan,nan
208,2.6,2.697261358e-11,2.431099068e-11,nan,nan,nan,nan
209,2.6125,2.774808567e-11,2.497149108e-11,nan,nan,nan,nan
210,2.625,2.851997091e-11,2.562325653e-11,nan,nan,nan,nan
211,2.6375,2.928649934e-11,2.629049722e-11,nan,nan,nan,nan
212,2.65,3.007266620e-11,2.700036202e-11,nan,nan,nan,nan
213,2.6625,3.090498848e-11,2.775554605e-11,nan,nan,nan,nan
214,2.675,3.178508150e-11,2.853225170e-11,nan,nan,nan,nan
215,2.6875,3.268943052e-11,2.930549580e-11,nan,nan,nan,nan
216,2.7,3.359478247e-11,3.007507905e-11,nan,nan,nan,nan
217,2.7125,3.450202720e-11,3.086540187e-11,nan,nan,nan,nan
218,2.725,3.543423588e-11,3.170031828e-11,nan,nan,nan,nan
219,2.7375,3.641253639e-11,3.258000246e-11,nan,nan,nan,nan
220,2.75,3.743605529e-11,3.348330276e-11,nan,nan,nan,nan
221,2.7625,3.848591305e-11,3.439132802e-11,nan,nan,nan,nan
222,2.775,3.954675288e-11,3.530651086e-11,nan,nan,nan,nan
223,2.7875,4.062193071e-11,3.624826492e-11,nan,nan,nan,nan
224,2.8,4.172776573e-11,3.723225591e-11,nan,nan,nan,nan
225,2.8125,4.287578391e-11,3.825639554e-11,nan,nan,nan,nan
226,2.825,4.406315918e-11,3.930687472e-11,nan,nan,nan,nan
227,2.8375,4.527984248e-11,4.037490675e-11,nan,nan,nan,nan
228,2.85,4.652159525e-11,4.146498389e-11,nan,nan,nan,nan
229,2.8625,4.779348341e-11,4.258754780e-11,nan,nan,nan,nan
230,2.875,4.910182591e-11,4.374712805e-11,nan,nan,nan,nan
231,2.8875,5.044657005e-11,4.494019796e-11,nan,nan,nan,nan
232,2.9,5.182395958e-11,4.616333510e-11,nan,nan,nan,nan
233,2.9125,5.323500932e-11,4.741958498e-11,nan,nan,nan,nan
234,2.925,5.468734811e-11,4.871447482e-11,nan,nan,nan,nan
235,2.9375,5.618664032e-11,5.004753098e-11,nan,nan,nan,nan
236,2.95,5.772821098e-11,5.141172044e-11,nan,nan,nan,nan
237,2.9625,5.930103959e-11,5.280324780e-11,nan,nan,nan,nan
238,2.975,6.090168088e-11,5.422984211e-11,nan,nan,nan,nan
239,2.9875,6.254203704e-11,5.570553118e-11,nan,nan,nan,nan
240,3,6.423980356e-11,5.723567259e-11,nan,nan,nan,nan
241,3.0125,6.600006805e-11,5.880936409e-11,nan,nan,nan,nan
242,3.025,6.780860684e-11,6.041011470e-11,nan,nan,nan,nan
243,3.0375,6.964642342e-11,6.203507383e-11,nan,nan,nan,nan
244,3.05,7.151153910e-11,6.370147547e-11,nan,nan,nan,nan
245,3.0625,7.342423518e-11,6.543116487e-11,nan,nan,nan,nan
246,3.075,7.540837919e-11,6.722824934e-11,nan,nan,nan,nan
247,3.0875,7.746750634e-11,6.907418154e-11,nan,nan,nan,nan
248,3.1,7.958133940e-11,7.094714120e-11,nan,nan,nan,nan
249,3.1125,8.172753284e-11,7.284622038e-11,nan,nan,nan,nan
250,3.125,8.390637152e-11,7.479453609e-11,nan,nan,nan,nan
251,3.1375,8.614231340e-11,7.681704666e-11,nan,nan,nan,nan
252,3.15,8.846041623e-11,7.891589483e-11,nan,nan,nan,nan
253,3.1625,9.086223613e-11,8.106926037e-11,nan,nan,nan,nan
254,3.175,9.332627509e-11,8.325509298e-11,nan,nan,nan,nan
