n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.025,1.598740529e-13,3.197481057e-13,nan,nan,nan,nan
2,0.05,3.023872061e-13,3.682120452e-13,nan,nan,nan,nan
3,0.075,2.866036825e-13,2.110569991e-13,nan,nan,nan,nan
4,0.1,2.355037271e-13,2.864446807e-13,nan,nan,nan,nan
5,0.125,2.597499419e-13,2.330045520e-13,nan,nan,nan,nan
6,0.15,2.021121546e-13,2.445855965e-13,nan,nan,nan,nan
7,0.175,2.357890982e-13,2.311344864e-13,nan,nan,nan,nan
8,0.2,2.083848412e-13,2.785591068e-13,nan,nan,nan,nan
9,0.225,2.402372995e-13,2.223901779e-13,nan,nan,nan,nan
10,0.25,1.928973902e-13,2.322779945e-13,nan,nan,nan,nan
11,0.275,2.129940180e-13,2.499353873e-13,nan,nan,nan,nan
12,0.3,2.262615368e-13,2.289879340e-13,nan,nan,nan,nan
13,0.325,2.147282068e-13,2.711940811e-13,nan,nan,nan,nan
14,0.35,2.281723796e-13,2.990939132e-13,nan,nan,nan,nan
15,0.375,2.430878628e-13,2.982605968e-13,nan,nan,nan,nan
16,0.4,2.597019280e-13,3.305972814e-13,nan,nan,nan,nan
17,0.425,3.179351802e-13,3.564711431e-13,nan,nan,nan,nan
18,0.45,3.466563902e-13,3.366908051e-13,nan,nan,nan,nan
19,0.475,3.091544636e-13,3.337283442e-13,nan,nan,nan,nan
20,0.5,3.273285105e-13,3.522745913e-13,nan,nan,nan,nan
21,0.525,3.411349641e-13,3.500098015e-13,nan,nan,nan,nan
22,0.55,3.148468543e-13,4.117428739e-13,nan,nan,nan,nan
23,0.575,4.002259464e-13,4.324118505e-13,nan,nan,nan,nan
24,0.6,4.276507651e-13,4.037654520e-13,nan,nan,nan,nan
25,0.625,3.762166598e-13,4.222202349e-13,nan,nan,nan,nan
26,0.65,4.000878140e-13,4.374234156e-13,nan,nan,nan,nan
27,0.675,4.135853903e-13,4.472661497e-13,nan,nan,nan,nan
28,0.7,3.764181325e-13,4.532527225e-13,nan,nan,nan,nan
29,0.725,4.551190777e-13,4.597731780e-13,nan,nan,nan,nan
30,0.75,4.807725106e-13,4.684299860e-13,nan,nan,nan,nan
31,0.775,4.578717245e-13,4.758630723e-13,nan,nan,nan,nan
32,0.8,4.566633167e-13,4.757011450e-13,nan,nan,nan,nan
33,0.825,4.756883091e-13,4.656882927e-13,nan,nan,nan,nan
34,0.85,5.143526012e-13,4.508008296e-13,nan,nan,nan,nan
35,0.875,5.499294139e-13,4.382723043e-13,nan,nan,nan,nan
36,0.9,5.791744929e-13,4.305234614e-13,nan,nan,nan,nan
37,0.925,6.244527571e-13,4.220546439e-13,nan,nan,nan,nan
38,0.95,6.932697753e-13,4.574326530e-13,nan,nan,nan,nan
39,0.975,7.443808418e-13,4.739423203e-13,nan,nan,nan,nan
40,1,7.535171580e-13,4.810803879e-13,nan,nan,nan,nan
41,1.025,7.518144557e-13,5.302408040e-13,nan,nan,nan,nan
42,1.05,7.908950137e-13,6.424021861e-13,nan,nan,nan,nan
43,1.075,8.872778305e-13,7.730056443e-13,nan,nan,nan,nan
44,1.1,9.968736101e-13,8.586558782e-13,nan,nan,nan,nan
45,1.125,1.059199577e-12,8.900889705e-13,nan,nan,nan,nan
46,1.15,1.067498115e-12,9.195747506e-13,nan,nan,nan,nan
47,1.175,1.074821470e-12,1.000482462e-12,nan,nan,nan,nan
48,1.2,1.133787224e-12,1.131632227e-12,nan,nan,nan,nan
49,1.225,1.241135550e-12,1.265749639e-12,nan,nan,nan,nan
50,1.25,1.350386279e-12,1.362809005e-12,nan,nan,nan,nan
51,1.275,1.426051751e-12,1.431112676e-12,nan,nan,nan,nan
52,1.3,1.481051886e-12,1.507610627e-12,nan,nan,nan,nan
53,1.325,1.551236252e-12,1.608134528e-12,nan,nan,nan,nan
54,1.35,1.646106539e-12,1.718888772e-12,nan,nan,nan,nan
55,1.375,1.746998425e-12,1.824022915e-12,nan,nan,nan,nan
56,1.4,1.844285478e-12,1.926129446e-12,nan,nan,nan,nan
57,1.425,1.953147128e-12,2.042606087e-12,nan,nan,nan,nan
58,1.45,2.092349203e-12,2.172460961e-12,nan,nan,nan,nan
59,1.475,2.251078581e-12,2.289048175e-12,nan,nan,nan,nan
60,1.5,2.393280783e-12,2.377540228e-12,nan,nan,nan,nan
61,1.525,2.504452620e-12,2.461405272e-12,nan,nan,nan,nan
62,1.55,2.618447451e-12,2.581283989e-12,nan,nan,nan,nan
63,1.575,2.781023061e-12,2.749833559e-12,nan,nan,nan,nan
64,1.6,2.999301699e-12,2.930207620e-12,nan,nan,nan,nan
65,1.625,3.229671846e-12,3.075377838e-12,nan,nan,nan,nan
