n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.0125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
2,0.025,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
3,0.0375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
4,0.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
5,0.0625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
6,0.075,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
7,0.0875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
8,0.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
9,0.1125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
10,0.125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
11,0.1375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
12,0.15,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
13,0.1625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
14,0.175,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
15,0.1875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
16,0.2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
17,0.2125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
18,0.225,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
19,0.2375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
20,0.25,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
21,0.2625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
22,0.275,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
23,0.2875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
24,0.3,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
25,0.3125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
26,0.325,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
27,0.3375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
28,0.35,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
29,0.3625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
30,0.375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
31,0.3875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
32,0.4,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
33,0.4125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
34,0.425,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
35,0.4375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
36,0.45,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
37,0.4625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
38,0.475,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
39,0.4875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
40,0.5,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
41,0.5125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
42,0.525,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
43,0.5375,3.340955888e-51,2.672764710e-51,nan,nan,nan,nan
44,0.55,8.753304426e-50,8.552847072e-50,nan,nan,nan,nan
45,0.5625,2.352701136e-48,2.736911063e-48,nan,nan,nan,nan
46,0.575,3.314027783e-47,4.379057701e-47,nan,nan,nan,nan
47,0.5875,3.451701893e-46,3.503246161e-46,nan,nan,nan,nan
48,0.6,4.388935571e-45,3.503246161e-45,nan,nan,nan,nan
49,0.6125,4.326066466e-44,4.484155086e-44,nan,nan,nan,nan
50,0.625,3.758223644e-43,3.587324069e-43,nan,nan,nan,nan
51,0.6375,1.934322137e-42,1.614295831e-42,nan,nan,nan,nan
52,0.65,1.189273832e-41,1.721915553e-41,nan,nan,nan,nan
53,0.6625,7.210520217e-41,9.183549616e-41,nan,nan,nan,nan
54,0.675,4.551363003e-40,5.510129769e-40,nan,nan,nan,nan
55,0.6875,1.867499253e-39,2.571393892e-39,nan,nan,nan,nan
56,0.7,9.640634176e-39,1.469367939e-38,nan,nan,nan,nan
57,0.7125,3.894690557e-38,4.701977403e-38,nan,nan,nan,nan
58,0.725,1.628817711e-37,2.350988702e-37,nan,nan,nan,nan
59,0.7375,5.269650914e-37,8.463559326e-37,nan,nan,nan,nan
60,0.75,2.839131594e-36,3.573502826e-36,nan,nan,nan,nan
61,0.7625,8.124413982e-36,1.354169492e-35,nan,nan,nan,nan
62,0.775,3.036262294e-35,4.212971753e-35,nan,nan,nan,nan
63,0.7875,8.571771709e-35,1.444447458e-34,nan,nan,nan,nan
64,0.8,2.515854568e-34,4.212971753e-34,nan,nan,nan,nan
65,0.8125,8.385425399e-34,1.348150961e-33,nan,nan,nan,nan
66,0.825,1.743518657e-33,3.851859889e-33,nan,nan,nan,nan
67,0.8375,4.494119298e-33,1.059261469e-32,nan,nan,nan,nan
68,0.85,1.132838882e-32,2.542227527e-32,nan,nan,nan,nan
69,0.8625,2.901153334e-32,6.317050218e-32,nan,nan,nan,nan
70,0.875,6.550336154e-32,1.602373714e-31,nan,nan,nan,nan
71,0.8875,1.271018788e-31,3.266377186e-31,nan,nan,nan,nan
72,0.9,2.712823228e-31,7.395570986e-31,nan,nan,nan,nan
73,0.9125,5.544496680e-31,1.528418004e-30,nan,nan,nan,nan
74,0.925,1.116929176e-30,3.180095524e-30,nan,nan,nan,nan
75,0.9375,2.597928105e-30,7.099748147e-30,nan,nan,nan,nan
76,0.95,4.520343286e-30,1.262177448e-29,nan,nan,nan,nan
77,0.9625,7.056463372e-30,2.120063683e-29,nan,nan,nan,nan
78,0.975,1.249144680e-29,3.865418436e-29,nan,nan,nan,nan
79,0.9875,2.308859550e-29,6.922254443e-29,nan,nan,nan,nan
80,1,3.833080998e-29,1.140890084e-28,nan,nan,nan,nan
81,1.0125,5.276798348e-29,1.708376898e-28,nan,nan,nan,nan
82,1.025,7.478135016e-29,2.496744765e-28,nan,nan,nan,nan
83,1.0375,1.237424478e-28,3.707646255e-28,nan,nan,nan,nan
84,1.05,1.758072675e-28,5.127595884e-28,nan,nan,nan,nan
85,1.0625,2.386988823e-28,7.194411456e-28,nan,nan,nan,nan
86,1.075,3.156323637e-28,9.529439735e-28,nan,nan,nan,nan
87,1.0875,4.219318699e-28,1.236933899e-27,nan,nan,nan,nan
88,1.1,5.229060658e-28,1.514612938e-27,nan,nan,nan,nan
89,1.1125,6.457447978e-28,1.817535526e-27,nan,nan,nan,nan
90,1.125,7.566184474e-28,2.019483917e-27,nan,nan,nan,nan
91,1.1375,9.024557415e-28,2.120458113e-27,nan,nan,nan,nan
92,1.15,9.908081629e-28,2.284541182e-27,nan,nan,nan,nan
93,1.1625,1.053917035e-27,2.473867799e-27,nan,nan,nan,nan
94,1.175,1.091782359e-27,2.650572642e-27,nan,nan,nan,nan
95,1.1875,1.134848308e-27,2.776790386e-27,nan,nan,nan,nan
96,1.2,1.160091857e-27,2.827277484e-27,nan,nan,nan,nan
97,1.2125,1.192660522e-27,2.877764582e-27,nan,nan,nan,nan
98,1.225,1.192660522e-27,3.130200072e-27,nan,nan,nan,nan
99,1.2375,1.217904071e-27,3.306904915e-27,nan,nan,nan,nan
100,1.25,1.273687827e-27,3.332148464e-27,nan,nan,nan,nan
101,1.2625,1.381987139e-27,3.382635562e-27,nan,nan,nan,nan
102,1.275,1.389399988e-27,3.382635562e-27,nan,nan,nan,nan
103,1.2875,1.452508861e-27,3.433122660e-27,nan,nan,nan,nan
104,1.3,1.414643537e-27,3.534096855e-27,nan,nan,nan,nan
105,1.3125,1.465130635e-27,3.584583953e-27,nan,nan,nan,nan
106,1.325,1.591348380e-27,3.483609757e-27,nan,nan,nan,nan
107,1.3375,1.641835478e-27,3.685558149e-27,nan,nan,nan,nan
