n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.00625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
2,0.0125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
3,0.01875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
4,0.025,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
5,0.03125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
6,0.0375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
7,0.04375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
8,0.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
9,0.05625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
10,0.0625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
11,0.06875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
12,0.075,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
13,0.08125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
14,0.0875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
15,0.09375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
16,0.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
17,0.10625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
18,0.1125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
19,0.11875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
20,0.125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
21,0.13125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
22,0.1375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
23,0.14375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
24,0.15,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
25,0.15625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
26,0.1625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
27,0.16875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
28,0.175,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
29,0.18125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
30,0.1875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
31,0.19375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
32,0.2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
33,0.20625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
34,0.2125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
35,0.21875,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
36,0.225,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
37,0.23125,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
38,0.2375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
39,0.24375,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
40,0.25,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
41,0.25625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
42,0.2625,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
43,0.26875,2.672764710e-51,2.672764710e-51,nan,nan,nan,nan
44,0.275,8.619666190e-50,1.069105884e-49,nan,nan,nan,nan
45,0.28125,2.031969371e-48,2.736911063e-48,nan,nan,nan,nan
46,0.2875,3.318504664e-47,4.379057701e-47,nan,nan,nan,nan
47,0.29375,3.561405521e-46,3.503246161e-46,nan,nan,nan,nan
48,0.3,4.450580885e-45,5.605193857e-45,nan,nan,nan,nan
49,0.30625,3.993696347e-44,4.484155086e-44,nan,nan,nan,nan
50,0.3125,2.964515788e-43,3.587324069e-43,nan,nan,nan,nan
51,0.31875,2.223072411e-42,2.152394441e-42,nan,nan,nan,nan
52,0.325,1.254521210e-41,1.578422590e-41,nan,nan,nan,nan
53,0.33125,7.811248179e-41,9.183549616e-41,nan,nan,nan,nan
54,0.3375,3.904347812e-40,6.428484731e-40,nan,nan,nan,nan
55,0.34375,2.048934315e-39,2.938735877e-39,nan,nan,nan,nan
56,0.35,9.625945070e-39,1.395899542e-38,nan,nan,nan,nan
57,0.35625,4.581398903e-38,5.877471754e-38,nan,nan,nan,nan
58,0.3625,1.790440941e-37,2.586087572e-37,nan,nan,nan,nan
59,0.36875,6.907642731e-37,1.222514125e-36,nan,nan,nan,nan
60,0.375,2.679397116e-36,5.266214692e-36,nan,nan,nan,nan
61,0.38125,9.068064488e-36,1.655096046e-35,nan,nan,nan,nan
62,0.3875,2.599639871e-35,4.814824861e-35,nan,nan,nan,nan
63,0.39375,9.374265821e-35,1.685188701e-34,nan,nan,nan,nan
64,0.4,2.384571156e-34,5.296307347e-34,nan,nan,nan,nan
65,0.40625,7.685900103e-34,1.540743956e-33,nan,nan,nan,nan
66,0.4125,2.089187341e-33,4.622231867e-33,nan,nan,nan,nan
67,0.41875,4.827825557e-33,1.078520769e-32,nan,nan,nan,nan
68,0.425,1.345348009e-32,3.081487911e-32,nan,nan,nan,nan
69,0.43125,3.034195537e-32,6.471124613e-32,nan,nan,nan,nan
70,0.4375,6.846909742e-32,1.571558835e-31,nan,nan,nan,nan
71,0.44375,1.383189999e-31,3.482081339e-31,nan,nan,nan,nan
72,0.45,2.885202826e-31,7.888609052e-31,nan,nan,nan,nan
73,0.45625,5.932476647e-31,1.627025617e-30,nan,nan,nan,nan
74,0.4625,1.280117188e-30,3.352658847e-30,nan,nan,nan,nan
75,0.46875,2.553958282e-30,6.766947453e-30,nan,nan,nan,nan
76,0.475,4.484586138e-30,1.242455926e-29,nan,nan,nan,nan
77,0.48125,7.683837707e-30,2.208810535e-29,nan,nan,nan,nan
78,0.4875,1.267794445e-29,3.944304526e-29,nan,nan,nan,nan
79,0.49375,2.157086042e-29,7.020862056e-29,nan,nan,nan,nan
80,0.5,3.477464531e-29,1.104405267e-28,nan,nan,nan,nan
81,0.50625,5.901214766e-29,1.751271210e-28,nan,nan,nan,nan
82,0.5125,9.582628259e-29,2.713681514e-28,nan,nan,nan,nan
83,0.51875,1.537176099e-28,3.975858962e-28,nan,nan,nan,nan
84,0.525,2.177752752e-28,5.742907390e-28,nan,nan,nan,nan
85,0.53125,3.205003348e-28,7.951717925e-28,nan,nan,nan,nan
86,0.5375,4.362461217e-28,1.058651335e-27,nan,nan,nan,nan
87,0.54375,6.090502842e-28,1.357629618e-27,nan,nan,nan,nan
88,0.55,7.857551270e-28,1.694473224e-27,nan,nan,nan,nan
89,0.55625,9.979150862e-28,2.047882910e-27,nan,nan,nan,nan
90,0.5625,1.225107027e-27,2.404448039e-27,nan,nan,nan,nan
91,0.56875,1.420744531e-27,2.745235950e-27,nan,nan,nan,nan
92,0.575,1.641447921e-27,2.978738778e-27,nan,nan,nan,nan
93,0.58125,1.811841876e-27,3.231174268e-27,nan,nan,nan,nan
94,0.5875,1.988546719e-27,3.433122660e-27,nan,nan,nan,nan
95,0.59375,2.121075351e-27,3.635071051e-27,nan,nan,nan,nan
96,0.6,2.215738660e-27,3.811775894e-27,nan,nan,nan,nan
97,0.60625,2.297780194e-27,4.013724286e-27,nan,nan,nan,nan
98,0.6125,2.423997939e-27,4.190429129e-27,nan,nan,nan,nan
99,0.61875,2.487106811e-27,4.468108167e-27,nan,nan,nan,nan
100,0.625,2.644878992e-27,4.720543657e-27,nan,nan,nan,nan
101,0.63125,2.897314482e-27,4.998222695e-27,nan,nan,nan,nan
102,0.6375,3.074019325e-27,5.200171087e-27,nan,nan,nan,nan
103,0.64375,3.232513792e-27,5.402119479e-27,nan,nan,nan,nan
104,0.65,3.358731537e-27,5.553580773e-27,nan,nan,nan,nan
105,0.65625,3.497571056e-27,5.730285616e-27,nan,nan,nan,nan
106,0.6625,3.661654124e-27,6.033208203e-27,nan,nan,nan,nan
107,0.66875,3.775250095e-27,6.285643693e-27,nan,nan,nan,nan
108,0.675,3.926711388e-27,6.361374340e-27,nan,nan,nan,nan
109,0.68125,4.090794457e-27,6.639053378e-27,nan,nan,nan,nan
110,0.6875,4.128659780e-27,6.891488868e-27,nan,nan,nan,nan
111,0.69375,4.308742426e-27,7.118680809e-27,nan,nan,nan,nan
112,0.7,4.519934789e-27,7.320629200e-27,nan,nan,nan,nan
113,0.70625,4.608287210e-27,7.472090494e-27,nan,nan,nan,nan
114,0.7125,4.763126307e-27,7.674038886e-27,nan,nan,nan,nan
