n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
2,0.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
3,0.15,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
4,0.2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
5,0.25,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
6,0.3,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
7,0.35,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
8,0.4,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
9,0.45,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
10,0.5,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
11,0.55,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
12,0.6,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
13,0.65,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
14,0.7,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
15,0.75,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
16,0.8,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
17,0.85,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
18,0.9,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
19,0.95,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
20,1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
21,1.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
22,1.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
23,1.15,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
24,1.2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
25,1.25,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
26,1.3,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
27,1.35,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
28,1.4,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
29,1.45,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
30,1.5,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
31,1.55,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
32,1.6,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
33,1.65,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
34,1.7,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
35,1.75,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
36,1.8,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
37,1.85,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
38,1.9,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
39,1.95,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
40,2,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
41,2.05,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
42,2.1,0.000000000e+00,0.000000000e+00,nan,nan,nan,nan
43,2.15,2.004573533e-51,2.672764710e-51,nan,nan,nan,nan
44,2.2,5.345529420e-50,8.552847072e-50,nan,nan,nan,nan
45,2.25,1.690523679e-48,1.368455532e-48,nan,nan,nan,nan
46,2.3,2.221602027e-47,2.189528851e-47,nan,nan,nan,nan
47,2.35,3.500038843e-46,3.503246161e-46,nan,nan,nan,nan
48,2.4,2.878598664e-45,2.802596929e-45,nan,nan,nan,nan
49,2.45,3.372870903e-44,2.242077543e-44,nan,nan,nan,nan
50,2.5,2.313828874e-43,1.793662034e-43,nan,nan,nan,nan
51,2.55,1.362763100e-42,1.434929627e-42,nan,nan,nan,nan
52,2.6,6.428807350e-42,1.147943702e-41,nan,nan,nan,nan
53,2.65,4.325528166e-41,4.591774808e-41,nan,nan,nan,nan
54,2.7,2.562742866e-40,3.673419846e-40,nan,nan,nan,nan
55,2.75,8.351227377e-40,1.469367939e-39,nan,nan,nan,nan
56,2.8,4.824718181e-39,8.816207631e-39,nan,nan,nan,nan
57,2.85,2.177521457e-38,3.526483052e-38,nan,nan,nan,nan
58,2.9,7.359698261e-38,1.645692091e-37,nan,nan,nan,nan
59,2.95,3.604126309e-37,5.642372884e-37,nan,nan,nan,nan
60,3,9.596700335e-37,1.974830509e-36,nan,nan,nan,nan
61,3.05,3.244586991e-36,6.770847461e-36,nan,nan,nan,nan
62,3.1,9.438055180e-36,2.106485877e-35,nan,nan,nan,nan
63,3.15,4.080415542e-35,6.620384184e-35,nan,nan,nan,nan
64,3.2,9.037285662e-35,1.925929944e-34,nan,nan,nan,nan
65,3.25,2.232167024e-34,5.777789833e-34,nan,nan,nan,nan
66,3.3,5.324519377e-34,1.300002712e-33,nan,nan,nan,nan
67,3.35,1.427351260e-33,3.081487911e-33,nan,nan,nan,nan
68,3.4,3.109702941e-33,8.088905766e-33,nan,nan,nan,nan
69,3.45,6.847078207e-33,2.041485741e-32,nan,nan,nan,nan
70,3.5,1.477234485e-32,4.121490081e-32,nan,nan,nan,nan
71,3.55,2.948825372e-32,9.090389338e-32,nan,nan,nan,nan
72,3.6,5.332666346e-32,1.729485090e-31,nan,nan,nan,nan
73,3.65,1.049835056e-31,3.204747427e-31,nan,nan,nan,nan
74,3.7,1.994929731e-31,5.793197273e-31,nan,nan,nan,nan
75,3.75,3.720562962e-31,1.035379938e-30,nan,nan,nan,nan
76,3.8,6.416864884e-31,1.725633230e-30,nan,nan,nan,nan
77,3.85,1.171702409e-30,2.563797942e-30,nan,nan,nan,nan
78,3.9,1.787999991e-30,3.549874073e-30,nan,nan,nan,nan
79,3.95,2.527557090e-30,4.733165431e-30,nan,nan,nan,nan
80,4,3.008316152e-30,6.310887242e-30,nan,nan,nan,nan
81,4.05,4.191607510e-30,6.705317694e-30,nan,nan,nan,nan
82,4.1,5.374898868e-30,7.099748147e-30,nan,nan,nan,nan
83,4.15,5.212863930e-30,9.466330863e-30,nan,nan,nan,nan
84,4.2,6.529097094e-30,1.498835720e-29,nan,nan,nan,nan
85,4.25,1.103885736e-29,2.682127078e-29,nan,nan,nan,nan
86,4.3,1.984404514e-29,4.102076707e-29,nan,nan,nan,nan
87,4.35,3.009923691e-29,6.941975966e-29,nan,nan,nan,nan
88,4.4,4.272101140e-29,8.519697776e-29,nan,nan,nan,nan
89,4.45,6.007595131e-29,8.835242138e-29,nan,nan,nan,nan
90,4.5,5.376506407e-29,8.835242138e-29,nan,nan,nan,nan
91,4.55,5.978804186e-29,1.135959704e-28,nan,nan,nan,nan
92,4.6,8.242901993e-29,1.135959704e-28,nan,nan,nan,nan
93,4.65,1.102751398e-28,1.640830683e-28,nan,nan,nan,nan
94,4.7,1.319489629e-28,2.335028279e-28,nan,nan,nan,nan
95,4.75,2.095172630e-28,3.281661366e-28,nan,nan,nan,nan
96,4.8,3.041805717e-28,4.543838814e-28,nan,nan,nan,nan
97,4.85,3.420458951e-28,4.796274304e-28,nan,nan,nan,nan
98,4.9,3.917565051e-28,5.048709793e-28,nan,nan,nan,nan
99,4.95,4.002300396e-28,5.048709793e-28,nan,nan,nan,nan
100,5,3.719548615e-28,5.806016262e-28,nan,nan,nan,nan
101,5.05,4.621042051e-28,7.068193711e-28,nan,nan,nan,nan
102,5.1,6.301110336e-28,8.077935669e-28,nan,nan,nan,nan
103,5.15,7.126611352e-28,1.009741959e-27,nan,nan,nan,nan
104,5.2,8.893659779e-28,1.110716155e-27,nan,nan,nan,nan
105,5.25,1.015583723e-27,1.514612938e-27,nan,nan,nan,nan
106,5.3,1.015583723e-27,1.716561330e-27,nan,nan,nan,nan
107,5.35,1.051858951e-27,1.413638742e-27,nan,nan,nan,nan
108,5.4,1.253807343e-27,1.817535526e-27,nan,nan,nan,nan
109,5.45,1.123795006e-27,2.019483917e-27,nan,nan,nan,nan
110,5.5,1.346880108e-27,2.019483917e-27,nan,nan,nan,nan
111,5.55,1.428824113e-27,2.221432309e-27,nan,nan,nan,nan
112,5.6,1.808538318e-27,2.827277484e-27,nan,nan,nan,nan
113,5.65,2.212435101e-27,3.635071051e-27,nan,nan,nan,nan
114,5.7,2.767793179e-27,3.837019443e-27,nan,nan,nan,nan
115,5.75,3.043906868e-27,4.038967835e-27,nan,nan,nan,nan
116,5.8,3.851700435e-27,4.846761402e-27,nan,nan,nan,nan
117,5.85,4.053648827e-27,5.250658185e-27,nan,nan,nan,nan
118,5.9,3.507686596e-27,5.250658185e-27,nan,nan,nan,nan
119,5.95,4.570937100e-27,6.058451752e-27,nan,nan,nan,nan
120,6,4.158251218e-27,7.270142103e-27,nan,nan,nan,nan
121,6.05,5.254413660e-27,8.077935669e-27,nan,nan,nan,nan
122,6.1,6.668052402e-27,9.693522803e-27,nan,nan,nan,nan
123,6.15,8.613891962e-27,1.211690350e-26,nan,nan,nan,nan
124,6.2,9.623633921e-27,1.534807777e-26,nan,nan,nan,nan
125,6.25,9.623633921e-27,1.615587134e-26,nan,nan,nan,nan
126,6.3,1.048821310e-26,1.615587134e-26,nan,nan,nan,nan
127,6.35,1.151998166e-26,1.777145847e-26,nan,nan,nan,nan
128,6.4,1.394336236e-26,1.777145847e-26,nan,nan,nan,nan
129,6.45,1.432002663e-26,2.100263274e-26,nan,nan,nan,nan
130,6.5,1.324529873e-26,2.423380701e-26,nan,nan,nan,nan
131,6.55,1.647647299e-26,2.584939414e-26,nan,nan,nan,nan
132,6.6,2.286481360e-26,3.392732981e-26,nan,nan,nan,nan
133,6.65,2.811547179e-26,3.877409121e-26,nan,nan,nan,nan
134,6.7,3.377002675e-26,4.523643975e-26,nan,nan,nan,nan
135,6.75,3.315788306e-26,4.846761402e-26,nan,nan,nan,nan
136,6.8,3.477347020e-26,4.846761402e-26,nan,nan,nan,nan
137,6.85,3.962023160e-26,5.492996255e-26,nan,nan,nan,nan
138,6.9,3.757167563e-26,5.816113682e-26,nan,nan,nan,nan
139,6.95,4.102662088e-26,7.754818243e-26,nan,nan,nan,nan
140,7,4.291049031e-26,8.401053096e-26,nan,nan,nan,nan
141,7.05,5.125340161e-26,8.724170523e-26,nan,nan,nan,nan
142,7.1,7.064044722e-26,1.066287508e-25,nan,nan,nan,nan
143,7.15,8.841190569e-26,1.292469707e-25,nan,nan,nan,nan
144,7.2,9.810542849e-26,1.486340163e-25,nan,nan,nan,nan
145,7.25,1.110301256e-25,1.680210619e-25,nan,nan,nan,nan
146,7.3,1.256114182e-25,1.680210619e-25,nan,nan,nan,nan
147,7.35,1.191490696e-25,1.809457590e-25,nan,nan,nan,nan
148,7.4,1.203568029e-25,1.680210619e-25,nan,nan,nan,nan
149,7.45,1.268191514e-25,2.067951531e-25,nan,nan,nan,nan
150,7.5,1.638500225e-25,2.197198502e-25,nan,nan,nan,nan
151,7.55,1.591613149e-25,2.584939414e-25,nan,nan,nan,nan
152,7.6,1.935080492e-25,2.843433356e-25,nan,nan,nan,nan
153,7.65,2.516691860e-25,3.618915180e-25,nan,nan,nan,nan
154,7.7,2.775185801e-25,4.394397004e-25,nan,nan,nan,nan
155,7.75,3.162926713e-25,4.394397004e-25,nan,nan,nan,nan
156,7.8,3.140302306e-25,4.394397004e-25,nan,nan,nan,nan
157,7.85,3.956914633e-25,4.652890946e-25,nan,nan,nan,nan
