n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.05,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
2,0.1,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
3,0.15,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
4,0.2,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
5,0.25,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
6,0.3,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
7,0.35,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
8,0.4,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
9,0.45,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
10,0.5,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
11,0.55,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
12,0.6,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
13,0.65,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
14,0.7,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
15,0.75,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
16,0.8,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
17,0.85,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
18,0.9,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
19,0.95,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
20,1,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
21,1.05,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
22,1.1,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
23,1.15,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
24,1.2,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
25,1.25,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
26,1.3,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
27,1.35,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
28,1.4,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
29,1.45,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
30,1.5,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
31,1.55,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
32,1.6,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
33,1.65,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
34,1.7,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
35,1.75,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
36,1.8,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
37,1.85,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
38,1.9,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
39,1.95,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
40,2,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
41,2.05,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
42,2.1,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
43,2.15,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
44,2.2,8.313250050e-01,6.643007313e-01,nan,nan,nan,nan
