n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.025,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
2,0.05,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
3,0.075,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
4,0.1,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
5,0.125,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
6,0.15,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
7,0.175,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
8,0.2,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
9,0.225,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
10,0.25,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
11,0.275,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
12,0.3,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
13,0.325,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
14,0.35,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
15,0.375,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
16,0.4,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
17,0.425,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
18,0.45,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
19,0.475,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
20,0.5,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
21,0.525,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
22,0.55,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
23,0.575,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
24,0.6,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
25,0.625,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
26,0.65,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
27,0.675,8.318597581e-01,6.648702756e-01,nan,nan,nan,nan
