n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.025,4.317112636e-07,1.341020226e-07,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
2,0.05,4.666375304e-07,2.683973308e-07,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
3,0.075,5.176427238e-07,4.028693000e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
4,0.1,5.829876295e-07,5.370820396e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
5,0.125,6.602262961e-07,6.699724827e-07,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
6,0.15,7.461038349e-07,7.996454766e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
7,0.175,8.364372113e-07,9.231744142e-07,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
8,0.2,9.259850395e-07,1.036411216e-06,2.25596548152620846e+00,2.25596548152620713e+00,nan,nan
9,0.225,1.008313885e-06,1.133811016e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
10,0.25,1.075670167e-06,1.208278647e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
11,0.275,1.118868444e-06,1.251045951e-06,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
12,0.3,1.127208591e-06,1.251590958e-06,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
13,0.325,1.101833209e-06,1.231819508e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
14,0.35,1.108558473e-06,1.355793025e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
15,0.375,1.088016949e-06,1.463619015e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
16,0.4,1.090808916e-06,1.545433506e-06,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
17,0.425,1.071356036e-06,1.589467275e-06,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
18,0.45,1.069833718e-06,1.582002693e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
19,0.475,1.372131660e-06,1.525964044e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
20,0.5,2.152612172e-06,2.174647487e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
21,0.525,3.073694044e-06,3.167957744e-06,2.25596548152620802e+00,2.25596548152620713e+00,nan,nan
22,0.55,4.136897228e-06,4.415833379e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
23,0.575,5.365801513e-06,5.908909499e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
24,0.6,6.948249744e-06,7.611553672e-06,2.25596548152620846e+00,2.25596548152620668e+00,nan,nan
25,0.625,8.726147400e-06,9.516745922e-06,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
26,0.65,1.068492435e-05,1.160736399e-05,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
27,0.675,1.279866055e-05,1.385409559e-05,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
28,0.7,1.502801944e-05,1.621328904e-05,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
29,0.725,1.731817418e-05,1.862481419e-05,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
30,0.75,1.959681042e-05,2.101002343e-05,2.25596548152620846e+00,2.25596548152620668e+00,nan,nan
31,0.775,2.177230721e-05,2.326992146e-05,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
32,0.8,2.373221622e-05,2.528367083e-05,2.25596548152620713e+00,2.25596548152620802e+00,nan,nan
33,0.825,2.534217691e-05,2.690757828e-05,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
34,0.85,2.644542180e-05,2.797472323e-05,2.25596548152620846e+00,2.25596548152620713e+00,nan,nan
35,0.875,2.686303966e-05,2.829540279e-05,2.25596548152620846e+00,2.25596548152620668e+00,nan,nan
36,0.9,2.639517478e-05,2.765857748e-05,2.25596548152620802e+00,2.25596548152620402e+00,nan,nan
37,0.925,2.625702374e-05,2.764463050e-05,2.25596548152620846e+00,2.25596548152620180e+00,nan,nan
38,0.95,2.571280353e-05,2.904667939e-05,2.25596548152620846e+00,2.25596548152619558e+00,nan,nan
39,0.975,2.565809382e-05,3.068775451e-05,2.25596548152620935e+00,2.25596548152618537e+00,nan,nan
40,1,2.503939489e-05,3.165059254e-05,2.25596548152620846e+00,2.25596548152617071e+00,nan,nan
41,1.025,2.506615940e-05,3.172591454e-05,2.25596548152620846e+00,2.25596548152614984e+00,nan,nan
