n,t,maxE_SF,maxH_SF,W_total,W_phys,divE_TF,divH_TF
1,0.025,4.392643103e-10,5.795148563e-11,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
2,0.05,4.281812529e-10,1.151486403e-10,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
3,0.075,4.081871313e-10,1.706652795e-10,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
4,0.1,3.751878164e-10,2.232300665e-10,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
5,0.125,3.243057129e-10,2.710507372e-10,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
6,0.15,3.003828627e-10,3.116356423e-10,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
7,0.175,2.788498705e-10,3.416136626e-10,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
8,0.2,2.614059317e-10,3.565552468e-10,2.25596548152620846e+00,2.25596548152620713e+00,nan,nan
9,0.225,2.739655142e-10,3.950109515e-10,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
10,0.25,5.515357264e-10,6.918663155e-10,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
11,0.275,9.043072103e-10,1.084069358e-09,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
12,0.3,1.343656591e-09,1.586836911e-09,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
13,0.325,1.904950421e-09,2.215464452e-09,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
14,0.35,2.604214540e-09,2.984496188e-09,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
15,0.375,3.443561053e-09,3.906606130e-09,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
16,0.4,4.433219797e-09,4.991146195e-09,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
17,0.425,5.578962651e-09,6.242318804e-09,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
18,0.45,6.880074012e-09,7.656935772e-09,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
19,0.475,8.326906435e-09,9.221733405e-09,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
20,0.5,9.898000228e-09,1.091022642e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
21,0.525,1.155676201e-08,1.267910155e-08,2.25596548152620802e+00,2.25596548152620713e+00,nan,nan
22,0.55,1.324771935e-08,1.446417647e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
23,0.575,1.489239751e-08,1.617598159e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
24,0.6,1.638490093e-08,1.769506264e-08,2.25596548152620846e+00,2.25596548152620668e+00,nan,nan
25,0.625,1.758732683e-08,1.886715067e-08,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
26,0.65,1.832519181e-08,1.949840441e-08,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
27,0.675,1.838311468e-08,1.935099671e-08,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
28,0.7,1.792640048e-08,1.906196854e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
29,0.725,1.792295677e-08,1.945965711e-08,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
30,0.75,1.753280480e-08,2.084006882e-08,2.25596548152620846e+00,2.25596548152620668e+00,nan,nan
31,0.775,1.746932316e-08,2.167309859e-08,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
32,0.8,1.714420636e-08,2.171524029e-08,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
33,0.825,2.250122382e-08,2.407233052e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
34,0.85,3.593166061e-08,3.881397840e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
35,0.875,5.231172443e-08,5.681245476e-08,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
36,0.9,7.184839750e-08,7.988552887e-08,2.25596548152620846e+00,2.25596548152620713e+00,nan,nan
37,0.925,9.777773715e-08,1.107489608e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
38,0.95,1.312127729e-07,1.473545638e-07,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
39,0.975,1.703006328e-07,1.899593437e-07,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
40,1,2.151447920e-07,2.386228190e-07,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
41,1.025,2.656104734e-07,2.931386403e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
42,1.05,3.212520791e-07,3.529566292e-07,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
43,1.075,3.812318552e-07,4.170958974e-07,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
44,1.1,4.442308702e-07,4.840503334e-07,2.25596548152620935e+00,2.25596548152620935e+00,nan,nan
45,1.125,5.083540887e-07,5.516885002e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
46,1.15,5.710321471e-07,6.171508741e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
47,1.175,6.289233838e-07,6.767483634e-07,2.25596548152620846e+00,2.25596548152621024e+00,nan,nan
48,1.2,6.778207396e-07,7.258671707e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
49,1.225,7.125693028e-07,7.588862782e-07,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
50,1.25,7.270014977e-07,7.691151120e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
51,1.275,7.138981731e-07,7.487602410e-07,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
52,1.3,7.103531508e-07,7.510265963e-07,2.25596548152620802e+00,2.25596548152620846e+00,nan,nan
53,1.325,6.950333340e-07,7.283425622e-07,2.25596548152620935e+00,2.25596548152620713e+00,nan,nan
54,1.35,6.939116004e-07,7.464525442e-07,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
55,1.375,6.764290536e-07,7.572976553e-07,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
56,1.4,6.776724415e-07,7.391038578e-07,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
57,1.425,9.869857622e-07,1.025297370e-06,2.25596548152620935e+00,2.25596548152620935e+00,nan,nan
58,1.45,1.381818809e-06,1.450341127e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
59,1.475,1.834966360e-06,1.939397077e-06,2.25596548152620935e+00,2.25596548152620802e+00,nan,nan
60,1.5,2.343868225e-06,2.526945830e-06,2.25596548152620846e+00,2.25596548152620802e+00,nan,nan
61,1.525,3.099181905e-06,3.433782108e-06,2.25596548152620935e+00,2.25596548152620802e+00,nan,nan
62,1.55,4.067605685e-06,4.475932631e-06,2.25596548152620846e+00,2.25596548152620935e+00,nan,nan
63,1.575,5.163508840e-06,5.650828077e-06,2.25596548152620935e+00,2.25596548152620846e+00,nan,nan
64,1.6,6.379718683e-06,6.949738527e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
65,1.625,7.702086872e-06,8.356411072e-06,2.25596548152620802e+00,2.25596548152620802e+00,nan,nan
66,1.65,9.108124741e-06,9.845647882e-06,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
67,1.675,1.056561306e-05,1.138186841e-05,2.25596548152620846e+00,2.25596548152620846e+00,nan,nan
